key	text	tooltip
#Loc;1;text/db/lost_places_landmark_building_short_description_texts__.loc		
building_short_description_texts_short_description_cockatrice_roost	坐落在群峰之间，一个布满荆棘的巢穴中孵化着既恐怖又美丽的生物——考卡崔斯。	true
building_short_description_texts_short_description_the_blighted_towers	这座要塞建于西格玛统治时期，旨在监视游荡的绿皮部落。如今建筑已破败不堪，在绿皮掠夺者、亡灵奴仆和斯提尔领民兵之间几经易手。若能妥善修复，这些废墟将再次成为抵御敌人的坚固据点。	true
building_short_description_texts_short_description_darkwood	阿瓦隆最古老的森林，在第一次混沌入侵后被黑魔法和腐蚀所玷污。林中游荡着大量变异且强壮的生物。翼狮和蝎尾狮主宰着这里，以巨型昆虫为食，而高大的树木和巨大的蘑菇为地栖生物提供了庇护与养分。阿瓦隆的精灵未能净化此地，大多已将其遗弃，城镇如今布满了藤蔓与苔藓。	true
building_short_description_texts_short_description_lost_places_the_blight	枯萎地是西州境内的一片广阔荒原，这片沼泽地带栖息着绿皮、野兽人、变异者以及大圣战时期入侵基斯里夫的阿萨瓦·库尔混沌军团残部，他们不断袭击附近的定居点。传说荒原深处藏有巨宝，但许多寻宝者都落得惨死的下场。	true
building_short_description_texts_short_description_monolith_of_flesh	一根蠕动的触须从地底深处伸出。这是黑暗诸神赐予的扭曲信标，吸引着诺斯卡最邪恶的生物。凡间的刀剑与火把无法摧毁这件亵渎之物。	true
building_short_description_texts_short_description_blood_fane	这是一处献给血神的邪恶遗迹，位于暗影森林深处的空地，处于斯莫霍夫、费兰根和博森费尔斯村庄之间。一块饱经风霜的巨石矗立于此，上面沾满了千年的血祭。石下堆满了人类、精灵、矮人、半身人、兽人甚至野兽人的骸骨，其盔甲已锈迹斑斑。颅骨堆被精心摆放，眼窝全部面朝北方，越过诺斯卡和混沌荒原，直指颅骨之主的领地。	true
building_short_description_texts_short_description_fozzriks_vault	这座宏伟飞行要塞内的宝库藏有失落已久的财富与知识。在魔法封印的密室中，金币堆积如山，尘封的古籍足以启迪任何施法者。伟大的法师福兹里克确实积累了超乎想象的财富。	true
building_short_description_texts_short_description_tree_of_beards	在恶地深处见到巨大的柳树实属罕见，但近看之下，这棵病态之树的恐怖之处便显露无遗。成千上万颗长着胡须的头颅悬挂在枝头，这对矮人来说是无法言喻的侮辱，却是其敌人的丰碑。	true
building_short_description_texts_short_description_tree_of_vengeance	矮人的遗骸已被安葬，其亲属也已获知死讯，那棵树被付之一炬。再也没有达维会遭受此等奇耻大辱！	true
building_short_description_texts_short_description_fort_solace	慰藉堡是一处贸易中心，虽不及附近的马林堡受欢迎，后者的税收政策更为宽松。该定居点归荒原进出口交易所所有，他们将商人引向马林堡湾。慰藉堡海岸矗立着一座高耸的灯塔，指引着船队穿过马南斯波特海。	true
building_short_description_texts_short_description_tow_monolith_of_flesh	一根蠕动的触须从地底深处伸出。这是黑暗诸神赐予的扭曲信标，吸引着诺斯卡最邪恶的生物。凡间的刀剑与火把无法摧毁这件亵渎之物。	true
building_short_description_texts_short_description_tow_blood_fane	这是一处献给血神的邪恶遗迹，位于暗影森林深处的空地，处于斯莫霍夫、费兰根和博森费尔斯村庄之间。一块饱经风霜的巨石矗立于此，上面沾满了千年的血祭。石下堆满了人类、精灵、矮人、半身人、兽人甚至野兽人的骸骨，其盔甲已锈迹斑斑。颅骨堆被精心摆放，眼窝全部面朝北方，越过诺斯卡和混沌荒原，直指颅骨之主的领地。	true
building_short_description_texts_short_description_tow_fozzriks_vault	这座宏伟飞行要塞内的宝库藏有失落已久的财富与知识。在魔法封印的密室中，金币堆积如山，尘封的古籍足以启迪任何施法者。伟大的法师福兹里克确实积累了超乎想象的财富。	true
building_short_description_texts_short_description_red_cloud_mountain	红云山是世界边缘山脉三座火山中最南端的一座，盛产黑曜石和其他珍贵矿石。许多进取的矮人曾尝试在此采矿，但很快就被当地的地精赶走，这些地精经常伏击穿行于地道的运矿商队。	false
building_short_description_texts_short_description_valley_of_the_kings	一条名为骸骨峡谷（古尼赫卡拉人称之为诸王峡谷）的险径，从夸塔的汉白玉宫殿延伸至马拉克大墓地。这条路线曾连接尼赫卡拉帝国的东部与西部。数百尊巨大的石像矗立在峡谷两旁，它们并非普通的雕像，而是守护峡谷的活体构装体。自尼赫卡拉人重生以来，熟练的古墓架构师便定居于此，不知疲倦地修复并重塑这些被风沙侵蚀的宏伟纪念碑。	false
building_short_description_texts_short_description_sonnental	在边境亲王领阴森的盖斯滕蒙德丘陵中，坐落着由帝国流亡者建立的索南塔尔镇。这里看似避风港，实则隐藏着黑暗秘密。这个小社区由一群莱弥亚吸血鬼统治，她们绑架旅者作为食粮，而守卫城墙的士兵其实是亡灵奴仆。这里的居民因受支配而显得病态且疏离，这源于莱弥亚人的超自然支配力及其独特的吸血鬼式谈判风格。	false
